Botanical Name,Expected Common Name,Wikipedia Page link,Image urls
Abelmoschus esculentus,Okra,https://en.wikipedia.org/wiki/Okra,https://upload.wikimedia.org/wikipedia/commons/3/3e/Giant_okra_plant.jpg https://upload.wikimedia.org/wikipedia/commons/9/95/Hong_Kong_Okra_Aug_25_2012.JPG https://upload.wikimedia.org/wikipedia/commons/3/32/Ladies%27_Finger_BNC.jpg https://upload.wikimedia.org/wikipedia/commons/7/7a/Ladies_finger_bharta.jpg https://upload.wikimedia.org/wikipedia/commons/f/f4/Mmm..._gumbo_%287858028252%29_%282%29.jpg https://upload.wikimedia.org/wikipedia/commons/4/4a/Okra%28Abelmoschus_esculentus%29.JPG https://upload.wikimedia.org/wikipedia/commons/1/12/Okra_%28Abelmoschus_esculentus%29_cross-section_-_20080613.png https://upload.wikimedia.org/wikipedia/commons/4/4c/Okra_blossom_with_pollen.png https://upload.wikimedia.org/wikipedia/commons/6/6e/Okra_seedling%2C_hydroponic%2C_7days.JPG https://upload.wikimedia.org/wikipedia/commons/7/78/Okra_with_corriander.png https://upload.wikimedia.org/wikipedia/commons/d/de/Pollens_of_Abelmoschus_esculentus.jpg https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/commons/3/38/Stir-Fried-Okra-2008.jpg https://upload.wikimedia.org/wikipedia/commons/d/df/Wikibooks-logo-en-noslogan.svg https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg https://upload.wikimedia.org/wikipedia/commons/4/46/%D0%9C%D0%B0%D0%BD%D1%9F%D0%B0_%D0%BE%D0%B4_%D0%B1%D0%B0%D0%BC%D1%98%D0%B8.jpg https://upload.wikimedia.org/wikipedia/commons/1/13/%E0%B0%AC%E0%B1%86%E0%B0%82%E0%B0%A1%E0%B0%95%E0%B0%BE%E0%B0%AF_%E0%B0%AA%E0%B1%8B%E0%B0%AA%E0%B1%81_%E0%B0%95%E0%B1%82%E0%B0%B0.jpg https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
Abelmoschus manihot,Abelmoschus manihot,https://en.wikipedia.org/wiki/Abelmoschus_manihot,https://upload.wikimedia.org/wikipedia/commons/7/7b/Abelmoschus_manihot_%285171146007%29.jpg https://upload.wikimedia.org/wikipedia/commons/6/6b/Abelmoschus_manihot_ssp_tetraphyllus_W_IMG_2157.jpg https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
Abelmoschus moschatus,Abelmoschus moschatus,https://en.wikipedia.org/wiki/Abelmoschus_moschatus,https://upload.wikimedia.org/wikipedia/commons/b/b2/Abelmoschi1.JPG https://upload.wikimedia.org/wikipedia/commons/8/86/Abelmoschus_moschatus_Blanco2.245.png https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/commons/c/c6/The_Botanist09.jpg
Abies homolepis,Abies homolepis,https://en.wikipedia.org/wiki/Abies_homolepis,https://upload.wikimedia.org/wikipedia/commons/8/82/Abies_homolepis_cones.jpg https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/commons/5/5b/Status_iucn3.1_NT.svg https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
Acanthus mollis,Acanthus mollis,https://en.wikipedia.org/wiki/Acanthus_mollis,https://upload.wikimedia.org/wikipedia/commons/0/07/126_rue_de_rivoli_Paris_2012_07.jpg https://upload.wikimedia.org/wikipedia/commons/1/11/2007-07-13Acanthus09.jpg https://upload.wikimedia.org/wikipedia/commons/b/b8/Acanthaceae_-_Acanthus_mollis-2.JPG https://upload.wikimedia.org/wikipedia/commons/f/f7/Acanthaceae_-_Acanthus_mollis-3.JPG https://upload.wikimedia.org/wikipedia/commons/e/e2/Acanthaceae_-_Acanthus_mollis-4.JPG https://upload.wikimedia.org/wikipedia/commons/6/64/Acanthaceae_-_Acanthus_mollis.JPG https://upload.wikimedia.org/wikipedia/commons/8/8b/Acanthaceae_-_Acanthus_mollis_%282%29.JPG https://upload.wikimedia.org/wikipedia/commons/7/72/Acanthus_mollis5.jpg https://upload.wikimedia.org/wikipedia/commons/0/02/Acanthus_mollis_MHNT.BOT.2007.43.58.jpg https://upload.wikimedia.org/wikipedia/commons/f/f4/Acanthus_mollis_flower.JPG https://upload.wikimedia.org/wikipedia/commons/1/15/Acanthus_mollis_flower_parts_text.jpg https://upload.wikimedia.org/wikipedia/commons/0/02/Acanthus_mollis_inflorescence.JPG https://upload.wikimedia.org/wikipedia/commons/8/80/AcanthusmollisPalatineHill.jpg https://upload.wikimedia.org/wikipedia/commons/6/66/Bear%27s_breeches_at_BBG_%2850819%29.jpg https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg https://upload.wikimedia.org/wikipedia/commons/d/df/Wikispecies-logo.svg https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
Acanthus spinosus,Acanthus spinosus,https://en.wikipedia.org/wiki/Acanthus_spinosus,https://upload.wikimedia.org/wikipedia/commons/a/a3/Acanthus_spinosus_leaf.jpg https://upload.wikimedia.org/wikipedia/commons/d/d6/Acanthus_spinosus_opening.jpg https://upload.wikimedia.org/wikipedia/commons/f/fa/P1000255_Acanthus_spinosus_%28Spiny_bear%27s_breeches%29_%28Acanthaceae%29_Plant.JPG https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png
Acer buergerianum,Acer buergerianum,https://en.wikipedia.org/wiki/Acer_buergerianum,https://upload.wikimedia.org/wikipedia/commons/b/b0/Acer_buergerianum_leaf.jpg https://upload.wikimedia.org/wikipedia/commons/6/6c/Acer_buergerianum_seeds.jpg https://upload.wikimedia.org/wikipedia/commons/3/3f/Morris_Arboretum_Acer_buergerianum.JPG https://upload.wikimedia.org/wikipedia/commons/a/a2/Trident_Maple_Acer_buegerianum_Bark_Horizontal.JPG https://upload.wikimedia.org/wikipedia/commons/e/e1/BonsaiTridentMaple.jpg https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
Acer campestre,Acer campestre,https://en.wikipedia.org/wiki/Acer_campestre,https://upload.wikimedia.org/wikipedia/commons/f/f5/237_Acer_campestre.jpg https://upload.wikimedia.org/wikipedia/commons/b/b8/Acer-campestre-flowers.JPG https://upload.wikimedia.org/wikipedia/commons/8/8a/Acer-campestre.JPG https://upload.wikimedia.org/wikipedia/commons/6/62/Acer_campestre_%284%29.JPG https://upload.wikimedia.org/wikipedia/commons/e/ec/Acer_campestre_001.jpg https://upload.wikimedia.org/wikipedia/commons/2/26/Acer_campestre_002.jpg https://upload.wikimedia.org/wikipedia/commons/9/9f/Acer_campestre_003.jpg https://upload.wikimedia.org/wikipedia/commons/6/6c/Acer_campestre_004.jpg https://upload.wikimedia.org/wikipedia/commons/6/66/Acer_campestre_005.jpg https://upload.wikimedia.org/wikipedia/commons/d/df/Acer_campestre_006.jpg https://upload.wikimedia.org/wikipedia/commons/5/50/Acer_campestre_007.jpg https://upload.wikimedia.org/wikipedia/commons/3/36/Acer_campestre_008.jpg https://upload.wikimedia.org/wikipedia/commons/c/c5/Acer_campestre_009.jpg https://upload.wikimedia.org/wikipedia/commons/2/2d/Acer_campestre_010.jpg https://upload.wikimedia.org/wikipedia/commons/1/1a/Acer_campestre_Weinsberg_20070419_1.jpg https://upload.wikimedia.org/wikipedia/commons/a/af/Acer_campestre_in_Appennino2.jpg https://upload.wikimedia.org/wikipedia/commons/b/bb/Acer_campestre_range.svg https://upload.wikimedia.org/wikipedia/commons/4/4e/Acer_campestrie_L_ag1.jpg https://upload.wikimedia.org/wikipedia/commons/0/0d/Acer_campestris1.jpg https://upload.wikimedia.org/wikipedia/commons/0/0e/Entzia_-_Acer_Campestre_02.jpg https://upload.wikimedia.org/wikipedia/commons/a/a0/FeldahornBlatt.jpg https://upload.wikimedia.org/wikipedia/commons/6/61/Field_maple.JPG https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
Acer cissifolium,Acer cissifolium,https://en.wikipedia.org/wiki/Acer_cissifolium,https://upload.wikimedia.org/wikipedia/commons/d/d8/Acer_cissifolium_JPG1.jpg https://upload.wikimedia.org/wikipedia/commons/e/e5/Acer_cissifolium_Morton_1073-58-1.jpg
Acer japonicum,Acer japonicum,https://en.wikipedia.org/wiki/Acer_japonicum,https://upload.wikimedia.org/wikipedia/commons/7/7b/Acer_japonicum_Rog%C3%B3w.JPG https://upload.wikimedia.org/wikipedia/commons/6/6a/Acer_japonicum_aconitifolium_fall_color.JPG https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
